iter	MultiClass
0	0.6163534131
1	0.5533750148
2	0.5016055636
3	0.4573970953
4	0.4189207245
5	0.3862335303
6	0.3581576001
7	0.3334312216
8	0.3121537138
9	0.2926562816
10	0.275699719
11	0.2624846424
12	0.2500376246
13	0.2395388787
14	0.2291774862
15	0.2199072446
16	0.2121473371
17	0.205694366
18	0.1986892269
19	0.1928246952
20	0.1876223101
21	0.1831244687
22	0.1790784388
23	0.1754849652
24	0.1725739068
25	0.1703063436
26	0.1674564296
27	0.1644583993
28	0.1616022521
29	0.1590250239
30	0.1573046095
31	0.155596475
32	0.1538447475
33	0.1524158953
34	0.1510026011
35	0.1503581545
36	0.1494906893
37	0.1483965652
38	0.1473860483
39	0.1469061102
40	0.1464229472
41	0.1453614574
42	0.1444437565
43	0.1436248056
44	0.1426570983
45	0.142338065
46	0.1415410625
47	0.1406179204
48	0.1402193528
49	0.1398518725
50	0.1394066294
51	0.1388389375
52	0.1385384176
53	0.1380949718
54	0.1370934824
55	0.1366037895
56	0.1361396094
57	0.1355588535
58	0.135143806
59	0.1348409313
60	0.1340859333
61	0.1337692355
62	0.1332747348
63	0.1326983816
64	0.1321065534
65	0.1315884943
66	0.1313888273
67	0.1309513628
68	0.1303156357
69	0.1298103732
70	0.1291739293
71	0.128548409
72	0.127559632
73	0.1273252818
74	0.1268209698
75	0.1266467394
76	0.1263015259
77	0.1256700332
78	0.125383395
79	0.1250864579
80	0.124874515
81	0.1243561938
82	0.1240726958
83	0.1237598892
84	0.123556295
85	0.123364326
86	0.1230887768
87	0.1229480304
88	0.1226406929
89	0.122244989
90	0.1221245253
91	0.1217852796
92	0.1215853303
93	0.1212826573
94	0.1211438727
95	0.1205175705
96	0.1202113854
97	0.1197404805
98	0.1195807499
99	0.119484039
